127.0.0.1 - - [17/Dec/2019:13:40:11 +0900] "GET / HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:40:19 +0900] "GET /board/list.do HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:40:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:40:24 +0900] "GET /board/view.do?no=395&cnt=1&page=1&perPageNum=10 HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:40:27 +0900] "GET /board/updateForm.do?no=395&page=1&perPageNum=10&key=&word= HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:40:27 +0900] "GET /js/regExUtil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:15 +0900] "GET /board/list.do HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:17 +0900] "GET /board/view.do?no=395&cnt=1&page=1&perPageNum=10 HTTP/1.1" 200 5406
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:35 +0900] "POST /board/replyWrite.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:35 +0900] "GET /board/view.do?no=395&cnt=0&page=1&perPageNum=10 HTTP/1.1" 200 5406
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:39 +0900] "GET /board/list.do?page=1&perPageNum=10&key=&word= HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:41 +0900] "GET /board/view.do?no=395&cnt=1&page=1&perPageNum=10 HTTP/1.1" 200 5406
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:43 +0900] "GET /board/list.do?page=1&perPageNum=10&key=&word= HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:44 +0900] "GET /board/view.do?no=395&cnt=1&page=1&perPageNum=10 HTTP/1.1" 200 5406
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:47 +0900] "GET /image/list.do HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:47 +0900] "GET /upload/image/s_bg011.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:47 +0900] "GET /upload/image/s_bg022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:47 +0900] "GET /upload/image/s_dog011.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:47 +0900] "GET /upload/image/s_icon011.png HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:50 +0900] "GET /board/list.do HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:53 +0900] "GET /board/view.do?no=395&cnt=1&page=1&perPageNum=10 HTTP/1.1" 200 5406
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:55 +0900] "GET /board/list.do HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:56 +0900] "GET /board/view.do?no=393&cnt=1&page=1&perPageNum=10 HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:57 +0900] "GET /board/list.do HTTP/1.1" 200 10968
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:45:59 +0900] "GET /board/view.do?no=395&cnt=1&page=1&perPageNum=10 HTTP/1.1" 200 5406
0:0:0:0:0:0:0:1 - - [17/Dec/2019:13:46:04 +0900] "GET /board/list.do HTTP/1.1" 200 10968
