127.0.0.1 - - [21/Nov/2019:09:24:49 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:24:50 +0900] "GET /ch02css/font.html HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:24:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:25:24 +0900] "GET /ch02css/font.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:26:22 +0900] "GET /ch02css/font.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:27:27 +0900] "GET /ch02css/font.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:32:11 +0900] "GET /ch02css/font.html HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:33:49 +0900] "GET /ch02css/font.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:42 +0900] "GET /ch02css/font.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:42 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:43 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:43 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:43 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:43 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:44 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:44 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:44 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:44 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:44 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:45 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:38:45 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:44:36 +0900] "GET /ch02css/font.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:07 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:08 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:08 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:08 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:08 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:08 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:34 +0900] "GET /ch02css/font.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:35 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:46:36 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:48:47 +0900] "GET /ch02css/font.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:48:48 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:48:48 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:48:48 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:48:48 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:48:48 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:48:54 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:14 +0900] "GET /ch02css/font.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:14 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:14 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:14 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:15 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:16 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:16 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:16 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:49:16 +0900] "GET /ch02css/font.html HTTP/1.1" 304 -
