127.0.0.1 - - [14/Nov/2019:17:01:38 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:01:39 +0900] "GET /ch01html/list.html HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:03:06 +0900] "GET /ch01html/list.html HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:04:15 +0900] "GET /ch01html/list.html HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:26 +0900] "GET /ch01html/list.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:26 +0900] "GET /ch01html/image/icon.png HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:28 +0900] "GET /ch01html/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:28 +0900] "GET /ch01html/image/icon.png HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:28 +0900] "GET /ch01html/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:28 +0900] "GET /ch01html/image/icon.png HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:28 +0900] "GET /ch01html/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:28 +0900] "GET /ch01html/image/icon.png HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:29 +0900] "GET /ch01html/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:29 +0900] "GET /ch01html/image/icon.png HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:29 +0900] "GET /ch01html/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:29 +0900] "GET /ch01html/image/icon.png HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:29 +0900] "GET /ch01html/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:29 +0900] "GET /ch01html/image/icon.png HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [14/Nov/2019:17:16:29 +0900] "GET /ch01html/list.html HTTP/1.1" 304 -
