127.0.0.1 - - [03/Dec/2019:09:33:09 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:33:09 +0900] "GET /ch04jquery/ajax/get.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:33:09 +0900] "GET /ch04jquery/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:33:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:33:10 +0900] "GET /ch04jquery/ajax/serverData.jsp HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:33:43 +0900] "GET /ch04jquery/ajax/get.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:33:43 +0900] "GET /ch04jquery/ajax/serverData.jsp HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:34:46 +0900] "GET /ch04jquery/ajax/get.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:34:46 +0900] "GET /ch04jquery/ajax/serverData.jsp HTTP/1.1" 500 2764
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:36:13 +0900] "GET /ch04jquery/ajax/get.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:36:13 +0900] "GET /ch04jquery/ajax/serverData.jsp HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:43:38 +0900] "GET /ch04jquery/ajax/get.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:43:38 +0900] "POST /ch04jquery/ajax/serverData.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:44:43 +0900] "GET /ch04jquery/ajax/get.html HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [03/Dec/2019:09:44:43 +0900] "POST /ch04jquery/ajax/serverData.jsp HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:25:33 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:25:33 +0900] "GET /ch04jquery/ajax/board.json HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:03 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:08 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:09 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:09 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:09 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:09 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:19 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:20 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:20 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:20 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:21 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:21 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:21 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:21 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:21 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:22 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:23 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:25 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:33 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:35 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:35 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:35 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:35 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:36 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:36 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2019:10:26:36 +0900] "GET /ch04jquery/ajax/getJson.html HTTP/1.1" 304 -
